turtle,obj,measurement,treat,beh
4,shelter,1.773127271,acc,shelt_rest
4,shelter,0,no_acc,shelt_rest
4,shelter,27.71332253,acc,shelt_under
4,shelter,17.82659409,no_acc,shelt_under
4,shelter,1.112035375,acc,shelt_other
4,shelter,1.283048212,no_acc,shelt_other
4,brush,0,acc,brush_rest
4,brush,0,no_acc,brush_rest
4,brush,7.27638895,acc,brush_scratch
4,brush,0.758164852,no_acc,brush_scratch
4,brush,0,acc,brush_other
4,brush,0,no_acc,brush_other
5,shelter,3.022266083,acc,shelt_rest
5,shelter,0,no_acc,shelt_rest
5,shelter,0.505766977,acc,shelt_under
5,shelter,0.530133929,no_acc,shelt_under
5,shelter,0,acc,shelt_other
5,shelter,0,no_acc,shelt_other
5,brush,12.89089003,acc,brush_rest
5,brush,9.397321429,no_acc,brush_rest
5,brush,6.470116573,acc,brush_scratch
5,brush,1.969866071,no_acc,brush_scratch
5,brush,0.135693579,acc,brush_other
5,brush,0.061383929,no_acc,brush_other
6,shelter,0,acc,shelt_rest
6,shelter,0,no_acc,shelt_rest
6,shelter,1.924769449,acc,shelt_under
6,shelter,0.229594765,no_acc,shelt_under
6,shelter,0.838020893,acc,shelt_other
6,shelter,0.06887843,no_acc,shelt_other
6,brush,20.76684652,acc,brush_rest
6,brush,35.54126966,no_acc,brush_rest
6,brush,19.38927792,acc,brush_scratch
6,brush,34.97876248,no_acc,brush_scratch
6,brush,0.061225271,acc,brush_other
6,brush,0,no_acc,brush_other
7,shelter,21.79228292,acc,shelt_rest
7,shelter,7.611655773,no_acc,shelt_rest
7,shelter,0.300169186,acc,shelt_under
7,shelter,2.723311547,no_acc,shelt_under
7,shelter,0,acc,shelt_other
7,shelter,0,no_acc,shelt_other
7,brush,0,acc,brush_rest
7,brush,0,no_acc,brush_rest
7,brush,0.671287453,acc,brush_scratch
7,brush,0.12254902,no_acc,brush_scratch
7,brush,0.065491459,acc,brush_other
7,brush,0,no_acc,brush_other
8,shelter,17.89455705,acc,shelt_rest
8,shelter,21.05202178,no_acc,shelt_rest
8,shelter,0.079708495,acc,shelt_under
8,shelter,2.097091878,no_acc,shelt_under
8,shelter,4.606012298,acc,shelt_other
8,shelter,9.292086664,no_acc,shelt_other
8,brush,3.495786837,acc,brush_rest
8,brush,0,no_acc,brush_rest
8,brush,4.936233204,acc,brush_scratch
8,brush,1.888541305,no_acc,brush_scratch
8,brush,0.125256206,acc,brush_other
8,brush,0,no_acc,brush_other
